time,emotion
1,0.9
2,0.8
3,0.8
4,0.7
5,0.6
6,0.6499999999999999
7,0.5
8,0.9
9,1.0
10,0.7
11,0.9
12,0.7
13,0.8
14,0.7
15,0.6
16,0.6
17,0.3
18,0.4
19,0.2
20,0.5
21,0.7
22,0.44999999999999996
23,0.8
24,0.7
